,0,1
10,l,28206
21,o,23220
24,s,23019
0,a,14785
118,e,13411
46,le,9845
23,ll,9230
65,j,6777
185,i,6380
76,lo,5381
38,y,5238
55,in,3956
53,d,3854
253,g,3851
337,k,3834
290,el,3806
30,m,3578
45,z,3543
6,c,3389
201,so,3371
116,b,3368
5,ol,3299
86,t,3244
240,w,3032
377,r,2977
907,les,2964
36,n,2845
92,as,2806
265,h,2711
198,me,2639
37,is,2600
104,v,2597
40,u,2583
132,q,2523
108,x,2511
70,love,2495
89,ee,2342
49,es,2082
750,p,1990
93,my,1981
68,lol,1943
437,os,1931
254,sl,1921
98,on,1907
239,f,1897
354,an,1873
288,la,1795
154,no,1759
60,er,1677
14,al,1663
330,it,1586
486,to,1582
333,man,1566
156,ie,1532
125,re,1456
39,de,1350
704,the,1322
31,se,1311
78,be,1273
535,or,1174
323,go,1141
1056,lee,1098
697,,1078
499,at,1047
261,il,1042
181,password,1014
149,do,994
567,co,981
459,am,978
42,and,970
29,dog,950
259,po,948
199,baby,947
165,ko,933
244,st,928
894,mo,922
170,ho,905
87,ne,903
483,ka,894
474,ac,893
584,he,885
210,girl,883
126,th,868
12,we,853
1048,red,852
478,all,847
144,leo,818
823,one,805
1012,ha,781
1627,ma,766
632,jo,759
151,boo,752
762,money,752
148,cat,751
136,us,727
305,az,724
109,ter,719
345,rl,716
131,ty,710
220,na,708
1829,yo,702
338,los,697
316,te,692
308,ke,690
950,soo,686
348,boy,678
241,of,677
402,mom,670
88,en,667
815,per,663
1338,big,663
541,ch,658
811,lu,658
1006,ki,657
155,ok,645
346,you,645
908,ti,642
540,ra,640
347,blue,635
1137,li,621
137,kl,606
366,cl,600
607,jesus,596
713,ul,593
430,ml,587
689,ya,579
101,star,569
374,ry,568
610,mi,568
527,ger,565
193,by,563
752,da,563
587,elo,561
760,bo,561
969,op,558
41,ce,554
550,em,548
267,ad,539
329,ca,530
299,new,527
336,ni,526
796,bl,522
421,mar,521
1142,tr,520
661,dr,515
1670,god,515
221,vi,511
1398,life,491
642,gr,490
285,br,489
1081,za,482
670,sh,477
235,up,470
463,ga,452
462,angel,450
50,mu,449
319,writer,445
613,ky,442
1641,je,441
1821,hi,434
901,ed,430
1984,abc,429
194,nl,424
1252,ly,424
192,ro,420
758,ur,418
825,ck,418
7,hot,417
246,ba,417
636,ao,417
268,gl,414
1780,ye,414
350,ny,413
1001,fuck,413
189,ku,411
468,ole,411
728,che,408
248,bu,406
294,ve,405
97,pe,404
423,et,404
665,sha,403
134,content,401
1303,ers,395
3820,ninja,394
162,write,393
17,ta,390
2054,ah,390
443,bear,389
1072,ge,389
386,monkey,385
1826,ms,383
889,uk,380
135,io,379
612,see,379
1080,jay,379
435,mp,373
249,bb,370
464,bi,370
786,chi,370
315,doo,369
1417,sol,369
487,fl,367
380,tl,364
653,too,361
1010,seo,361
797,ey,358
2178,mm,358
325,cha,353
54,bob,351
2820,sam,351
626,hu,350
1558,just,345
3,pass,342
1183,om,342
772,ln,341
8,zi,340
1474,mc,340
1679,john,340
549,ill,339
1039,ph,339
585,if,338
1569,may,337
138,green,335
130,ff,334
363,ar,334
879,ssl,334
399,free,333
34,pr,332
806,ru,331
444,jack,330
718,mr,330
243,mel,328
1830,mad,328
419,her,325
175,pl,324
129,wa,322
1208,df,322
1451,fish,321
232,let,318
819,kay,317
1746,im,317
2088,day,317
1394,pa,316
110,black,315
537,aw,315
583,sk,314
1870,gi,314
2594,bug,314
284,du,310
266,get,309
931,un,309
1331,ball,308
2161,lady,308
938,michael,307
461,cr,306
1768,qwerty,305
362,ek,303
1857,cool,303
113,lil,302
242,rs,302
217,rose,298
602,mike,295
519,jr,293
630,ri,293
2272,su,292
1702,alo,291
67,associated,289
763,tu,289
2723,anna,289
492,fa,288
708,mer,288
269,ez,287
1193,eel,286
789,she,285
1932,rock,285
83,son,284
645,princess,284
927,dd,283
480,wi,282
1195,pop,281
1352,max,278
1801,joe,278
2349,mb,277
730,happy,275
809,die,275
1994,chris,275
422,are,274
1244,lie,274
349,james,273
818,tt,273
501,jam,272
533,si,272
1073,king,271
222,lt,270
870,gy,270
1575,sexy,270
1046,good,269
302,nie,268
1810,ali,268
395,sweet,267
1378,ash,266
509,fire,265
1322,cc,265
1384,kids,265
681,hello,264
853,lk,264
80,can,262
117,oz,262
726,car,262
458,mon,261
667,head,260
1991,moon,260
705,pi,258
13,rd,257
223,roo,256
169,nu,254
1232,lp,254
166,jan,253
1596,eos,253
1256,for,252
1312,freedom,249
1929,km,249
2627,uv,249
986,del,248
2738,zo,248
3512,ji,248
663,ham,247
1154,cu,247
43,wood,246
282,cho,246
342,kitty,245
401,alex,243
1692,key,242
1864,ik,241
376,di,239
682,que,239
1795,lucky,239
120,now,238
1257,lb,238
85,not,237
33,sunshine,236
291,fu,236
2261,ale,234
547,ng,232
881,ep,232
2120,lyn,232
1225,dragon,231
2151,mama,231
283,welcome,229
1017,kr,229
2312,ld,228
3599,ii,228
885,bad,227
1747,ts,227
343,kat,226
799,men,226
858,oh,226
1609,qu,226
255,fe,225
385,win,225
417,hs,225
606,nick,225
970,xl,225
140,jordan,224
233,gu,224
561,purple,224
782,sc,224
1062,der,224
1481,ag,224
388,sun,223
1594,um,223
523,wee,222
1053,tin,222
571,shadow,221
1328,sky,220
1920,san,220
1295,com,219
495,ben,218
1493,time,217
1278,js,216
1448,bird,216
1879,ju,215
440,sm,213
1852,job,213
150,goo,212
1776,ken,211
2375,han,211
838,pink,210
1088,aol,210
1963,ray,210
471,eb,209
677,woo,209
1188,pie,209
3111,col,209
420,cm,208
1202,lg,208
2712,land,208
500,home,206
1326,fr,206
1849,art,206
321,gold,205
1045,shi,205
1117,bus,205
368,fi,204
981,ds,204
1507,ice,204
1878,marie,204
303,net,203
1495,elle,203
1763,rt,203
1636,kim,202
2190,ian,202
2405,ren,202
872,sp,201
629,aka,200
3207,ak,200
389,ox,199
2339,ever,199
408,out,198
1264,ver,198
2644,bar,198
528,tie,197
1533,van,197
2758,david,197
26,ic,196
624,cash,196
1284,mac,196
1823,ay,196
2267,dj,196
714,nd,195
2154,kh,195
590,writing,194
988,master,194
2179,mie,194
3020,yu,194
2737,lc,193
996,gie,192
1109,bell,192
1672,success,191
496,matt,189
790,bol,189
910,bee,189
2612,run,189
619,ros,188
800,tiger,188
1842,cs,188
184,ram,187
424,ex,187
723,dan,187
959,frog,187
1118,pen,187
158,mary,186
394,pro,186
2662,jk,186
557,dee,185
808,cy,185
936,ps,185
2100,eg,185
2561,eye,185
865,vy,184
1345,xx,184
2275,pu,184
836,don,182
1404,mark,182
2742,less,181
490,sea,180
608,con,180
1121,bh,180
1155,hy,180
2201,ci,180
993,ten,179
1302,ot,179
1334,ab,179
