Number \ Keywords \ Quantity \ Percentage
# first keyboard line
1 \ 123 \ 11292 \ 0.024901426340998702
2 \ 123456 \ 2375 \ 0.005237414767965987
3 \ 1234 \ 2274 \ 0.005014686813623012
4 \ 12345 \ 918 \ 0.002024398634523274
5 \ 321 \ 892 \ 0.0019670627254844883
6 \ 987 \ 825 \ 0.0018193124983460795
7 \ 456 \ 471 \ 0.0010386620445103072
8 \ 789 \ 456 \ 0.0010055836354494695
9 \ 234 \ 422 \ 0.0009306059082449037
10 \ 123456789 \ 337 \ 0.0007431615902334895
11 \ 12345678 \ 321 \ 0.0007078779539019291
12 \ 345 \ 271 \ 0.0005976165903658032
13 \ 098 \ 267 \ 0.000588795681282913
14 \ 890 \ 259 \ 0.0005711538631171328
15 \ 1234567 \ 257 \ 0.0005667434085756878
16 \ 678 \ 237 \ 0.0005226388631612374
17 \ 567 \ 226 \ 0.0004983813631832896
18 \ 432 \ 210 \ 0.00046309772685172935
19 \ 654 \ 208 \ 0.0004586872723102843
20 \ 765 \ 162 \ 0.00035724681785704834
21 \ 543 \ 150 \ 0.0003307840906083781
22 \ 876 \ 125 \ 0.00027565340884031506
23 \ 4321 \ 120 \ 0.0002646272724867025
24 \ 654321 \ 118 \ 0.00026021681794525744
25 \ !@# \ 89 \ 0.00019626522709430435
26 \ 54321 \ 72 \ 0.0001587763634920215
27 \ 1234567890 \ 59 \ 0.00013010840897262872
28 \ 2345 \ 52 \ 0.00011467181807757107
29 \ 0987 \ 51 \ 0.00011246659080684856
30 \ 4567 \ 44 \ 9.702999991179091e-05
31 \ 9876 \ 40 \ 8.820909082890083e-05
32 \ 3456 \ 40 \ 8.820909082890083e-05
33 \ 5678 \ 38 \ 8.379863628745579e-05
34 \ 6789 \ 35 \ 7.718295447528823e-05
35 \ 7890 \ 34 \ 7.49777272045657e-05
36 \ 987654321 \ 33 \ 7.277249993384318e-05
37 \ 987654 \ 24 \ 5.29254544973405e-05
38 \ 8765 \ 22 \ 4.8514999955895454e-05
39 \ 6543 \ 21 \ 4.630977268517293e-05
40 \ !@#$ \ 19 \ 4.1899318143727894e-05
41 \ 87654321 \ 19 \ 4.1899318143727894e-05
42 \ 456789 \ 16 \ 3.528363633156033e-05
43 \ 23456 \ 15 \ 3.307840906083781e-05
44 \ 7654 \ 13 \ 2.8667954519392768e-05
45 \ 098765 \ 13 \ 2.8667954519392768e-05
46 \ 234567 \ 12 \ 2.646272724867025e-05
47 \ 45678 \ 12 \ 2.646272724867025e-05
48 \ #@! \ 10 \ 2.2052272707225208e-05
49 \ 5432 \ 10 \ 2.2052272707225208e-05
50 \ 56789 \ 10 \ 2.2052272707225208e-05
51 \ 567890 \ 9 \ 1.9847045436502686e-05
52 \ 98765 \ 8 \ 1.7641818165780164e-05
53 \ 09876 \ 7 \ 1.5436590895057645e-05
54 \ 0987654321 \ 7 \ 1.5436590895057645e-05
55 \ 98765432 \ 6 \ 1.3231363624335125e-05
56 \ 7654321 \ 6 \ 1.3231363624335125e-05
57 \ %^& \ 5 \ 1.1026136353612604e-05
58 \ #$% \ 5 \ 1.1026136353612604e-05
59 \ !@#$% \ 5 \ 1.1026136353612604e-05
60 \ @#$ \ 4 \ 8.820909082890082e-06
61 \ $%^ \ 4 \ 8.820909082890082e-06
62 \ -09 \ 4 \ 8.820909082890082e-06
63 \ 23456789 \ 4 \ 8.820909082890082e-06
64 \ 67890 \ 4 \ 8.820909082890082e-06
65 \ !@#$%^& \ 3 \ 6.615681812167562e-06
66 \ 09876543 \ 3 \ 6.615681812167562e-06
67 \ 65432 \ 3 \ 6.615681812167562e-06
68 \ 34567 \ 3 \ 6.615681812167562e-06
69 \ 1234567890-= \ 3 \ 6.615681812167562e-06
70 \ 2345678 \ 3 \ 6.615681812167562e-06
71 \ 9876543 \ 2 \ 4.410454541445041e-06
72 \ 87654 \ 2 \ 4.410454541445041e-06
73 \ 765432 \ 2 \ 4.410454541445041e-06
74 \ 34567890 \ 2 \ 4.410454541445041e-06
75 \ 345678 \ 2 \ 4.410454541445041e-06
76 \ ^%$#@!~ \ 1 \ 2.2052272707225205e-06
77 \ %$# \ 1 \ 2.2052272707225205e-06
78 \ $#@ \ 1 \ 2.2052272707225205e-06
79 \ @!~ \ 1 \ 2.2052272707225205e-06
80 \ ^%$ \ 1 \ 2.2052272707225205e-06
81 \ ~!@ \ 1 \ 2.2052272707225205e-06
82 \ @#$% \ 1 \ 2.2052272707225205e-06
83 \ *() \ 1 \ 2.2052272707225205e-06
84 \ 876543 \ 1 \ 2.2052272707225205e-06
85 \ 8765432 \ 1 \ 2.2052272707225205e-06
86 \ =-09 \ 1 \ 2.2052272707225205e-06
87 \ 90-= \ 1 \ 2.2052272707225205e-06
88 \ `123 \ 1 \ 2.2052272707225205e-06
89 \ 3456789 \ 1 \ 2.2052272707225205e-06
90 \ `12345 \ 1 \ 2.2052272707225205e-06

# second keyboard line
1 \ tre \ 1203 \ 0.0026528884066791924
2 \ ert \ 1152 \ 0.002540421815872344
3 \ wer \ 883 \ 0.0019472156800479858
4 \ rew \ 614 \ 0.0013540095442236277
5 \ qwerty \ 480 \ 0.00105850908994681
